epoch,train_loss,train_f1_average,val_loss,val_f1_average
001,0.01131,0.73966,0.00175,0.91046
002,0.00174,0.91945,0.00091,0.94221
003,0.00076,0.95932,0.00079,0.96939
004,0.00047,0.97312,0.00079,0.98458
005,0.00040,0.97829,0.00052,0.98558
006,0.00032,0.98232,0.00046,0.98152
007,0.00026,0.98507,0.00062,0.98935
008,0.00023,0.98656,0.00035,0.98808
009,0.00020,0.98797,0.00061,0.99061
010,0.00019,0.98895,0.00049,0.98980
011,0.00018,0.98941,0.00094,0.99200
012,0.00017,0.99032,0.00143,0.99332
013,0.00016,0.99050,0.00118,0.99223
014,0.00015,0.99109,0.00185,0.99307
015,0.00015,0.99127,0.00205,0.99277
016,0.00014,0.99163,0.00161,0.98986
017,0.00014,0.99206,0.00046,0.99080
018,0.00014,0.99208,0.00101,0.99318
019,0.00013,0.99233,0.00132,0.99407
020,0.00014,0.99228,0.00108,0.99077
021,0.00013,0.99231,0.00109,0.99535
022,0.00013,0.99241,0.00273,0.99387
023,0.00012,0.99289,0.00142,0.99325
024,0.00012,0.99333,0.00082,0.98919
025,0.00012,0.99306,0.00086,0.99463
026,0.00011,0.99360,0.00142,0.99535
027,0.00014,0.99222,0.00098,0.98990
028,0.00012,0.99271,0.00072,0.98904
029,0.00012,0.99308,0.00091,0.99457
030,0.00011,0.99360,0.00160,0.99467
